Front,Back
Friend,Friend
Mbisi,Mbisi
Fish,Fish
Soso,Soso
Chicken,Chicken
Pembeni,Pembeni
Near,Near
Yoka,Yoka
"Sentir, comprendre","Sentir, comprendre"
Gonga ngay,Gonga ngay
My turn,My turn
Aiko wile,Aiko wile
Right no? Swaili,Right no? Swaili
Mbongo te ?,Mbongo te ?
Right no ? Lingala,Right no ? Lingala
Na,Na
I,I
O,O
You,You
A,A
He,He
A,A
She,She
It,It
E,E
To,To
We,We
Bo,Bo
You(pl),You(pl)
Ba,Ba
They,They
Nazali na ndako,Nazali na ndako
I am going home,I am going home
Ndako,Ndako
House,House
Ngai,Ngai
Me,Me
Ye,Ye
Him,Him
Ye,Ye
Her,Her
Biso,Biso
Our,Our
Bino,Bino
Your,Your
Bango,Bango
Them,Them
Zela,Zela
Wait,Wait
Nzela,Nzela
Way,Way
Mbongo,Mbongo
Money,Money
Ko kende,Ko kende
To go,To go
Ko kota,Ko kota
To come in,To come in
Ko fungola,Ko fungola
To open,To open
Ko kanga,Ko kanga
To close,To close
Ko lala,Ko lala
To sleep,To sleep
Ko lemba,Ko lemba
To be tired,To be tired
Pona nini,Pona nini
Why,Why
Wappi,Wappi
Where,Where
Nini?,Nini?
What?,What?
Tango nini?,Tango nini?
When?,When?
Libanda,Libanda
Outside,Outside
Licolo,Licolo
Up,Up
Downstairs,Downstairs
Down,Down
Mbeto,Mbeto
Bed,Bed
Kiti,Kiti
Chair,Chair
Iope,Iope
And you,And you
Boni?,Boni?
How?,How?
Mesa,Mesa
Table,Table
Ko yeba,Ko yeba
To know,To know
Ko loba,Ko loba
To speak,To speak
Ko tia,Ko tia
To put,To put
Ko zonga,Ko zonga
To come back,To come back
Ko zela,Ko zela
To wait,To wait
Ko mela,Ko mela
To drink,To drink
Ko lia,Ko lia
To eat,To eat
Ko fanda,Ko fanda
To sit,To sit
Ko telema,Ko telema
To stand up,To stand up
Kisi,Kisi
Medecin,Medecin
Loso,Loso
Rice,Rice
Lutu,Lutu
Spoon,Spoon
Saani,Saani
Plate,Plate
Kopo,Kopo
Cup,Cup
Kati,Kati
Inside,Inside
Ko ya,Ko ya
To come,To come
Ngonga,Ngonga
Times,Times
Awa,Awa
Here,Here
Kuna,Kuna
There,There
Beautiful,Beautiful
Kitoko,Kitoko
Malamu,Malamu
Good,Good
Mabe,Mabe
Bad,Bad
Ko yoka,Ko yoka
To understand,To understand
Mwasi,Mwasi
Girl,Girl
Mobali,Mobali
Boy,Boy
Ko linga,Ko linga
To like,To like
Ko luka,Ko luka
To search,To search
Munene,Munene
Big,Big
Muke,Muke
Small,Small
Mafuta,Mafuta
Cream,Cream
Ko mona,Ko mona
To see,To see
Ko tala,Ko tala
To look at,To look at
Ko mema,Ko mema
To bring,To bring
Biloco,Biloco
Goods,Goods
Mutu,Mutu
Someone,Someone
Ko zua,Ko zua
To take,To take
Ko kweyi,Ko kweyi
To fall down,To fall down
Ko lokota,Ko lokota
To pick up,To pick up
Ko sala,Ko sala
To do,To do
Ko lamuka,Ko lamuka
To wake up,To wake up
Ko sokola,Ko sokola
To take bath,To take bath
Ko banda,Ko banda
To start,To start
Lelo,Lelo
Today,Today
Lobi,Lobi
Yesterday and tomorrow,Yesterday and tomorrow
Pona,Pona
Because,Because
Kobela,Kobela
Sick,Sick
Tongo,Tongo
Morning,Morning
Pokwa,Pokwa
Evening,Evening
O lobi boni?,O lobi boni?
How do you say?,How do you say?
Baloose,Baloose
Turn,Turn
Bongisa,Bongisa
Place,Place
Kombo,Kombo
Name,Name
Ko tanga,Ko tanga
To read,To read
Ko zongisa,Ko zongisa
To give back,To give back
Ko bosana,Ko bosana
To forget,To forget
Ko sepela,Ko sepela
To be happy,To be happy
Ko yekola,Ko yekola
To learn,To learn
Ko matisa,Ko matisa
To put up,To put up
Ko kitisa,Ko kitisa
To put down,To put down
Ko tikala,Ko tikala
To remain,To remain
Esika,Esika
Place,Place
Esika yango,Esika yango
Usual place,Usual place
Nano te,Nano te
Not yet,Not yet
Talo,Talo
Price,Price
Ko zanga,Ko zanga
To miss,To miss
ko kanisa,ko kanisa
To remember,To remember
Ko zalana,Ko zalana
To have,To have
Ko tinda,Ko tinda
To send,To send
Epayi,Epayi
To,To
Ko lakisa,Ko lakisa
To show,To show
Bala bala,Bala bala
Road,Road
Ekuke,Ekuke
Door,Door
Mbwa,Mbwa
Dog,Dog
Posa,Posa
Thirsty,Thirsty
Ko uta,Ko uta
To come from,To come from
